Running tool: /usr/bin/go test -benchmem -run=^$ -coverprofile=/tmp/vscode-goXHUl02/go-code-cover -bench . github.com/database64128/cubic-go-playground/logging

goos: linux
goarch: amd64
pkg: github.com/database64128/cubic-go-playground/logging
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkZapConsole/Color/Info-32         	 2442656	       481.4 ns/op	      64 B/op	       3 allocs/op
BenchmarkZapConsole/Color/Info/FieldsString-32         	 1225756	       955.5 ns/op	     338 B/op	       7 allocs/op
BenchmarkZapConsole/Color/Info/FieldsStringer-32       	 1000000	      1045 ns/op	     394 B/op	       9 allocs/op
BenchmarkZapConsole/Color/Info/FieldsStringerp-32      	 1222222	      1030 ns/op	     338 B/op	       7 allocs/op
BenchmarkZapConsole/Color/Debug-32                     	414164401	         2.833 ns/op	       0 B/op	       0 allocs/op
BenchmarkZapConsole/Color/Debug/FieldsString-32        	 5173040	       253.7 ns/op	     272 B/op	       4 allocs/op
BenchmarkZapConsole/Color/Debug/FieldsStringer-32      	18197361	        64.12 ns/op	     184 B/op	       3 allocs/op
BenchmarkZapConsole/Color/Debug/FieldsStringerp-32     	42812943	        28.79 ns/op	     128 B/op	       1 allocs/op
BenchmarkZapConsole/Color/info/CheckNoFields-32        	 2526426	       467.4 ns/op	      64 B/op	       3 allocs/op
BenchmarkZapConsole/Color/info/CheckFieldsString-32    	 1000000	      1002 ns/op	     338 B/op	       7 allocs/op
BenchmarkZapConsole/Color/info/CheckFieldsStringer-32  	 1063546	      1114 ns/op	     394 B/op	       9 allocs/op
BenchmarkZapConsole/Color/info/CheckFieldsStringerp-32 	 1329012	       927.6 ns/op	     338 B/op	       7 allocs/op
BenchmarkZapConsole/Color/debug/CheckNoFields-32       	493042400	         2.462 ns/op	       0 B/op	       0 allocs/op
BenchmarkZapConsole/Color/debug/CheckFieldsString-32   	468796382	         2.506 ns/op	       0 B/op	       0 allocs/op
BenchmarkZapConsole/Color/debug/CheckFieldsStringer-32 	495390530	         2.343 ns/op	       0 B/op	       0 allocs/op
BenchmarkZapConsole/Color/debug/CheckFieldsStringerp-32         	482261673	         2.459 ns/op	       0 B/op	       0 allocs/op
BenchmarkZapConsole/NoColor/Info-32                             	 2585984	       461.1 ns/op	      64 B/op	       3 allocs/op
BenchmarkZapConsole/NoColor/Info/FieldsString-32                	 1225404	       987.6 ns/op	     338 B/op	       7 allocs/op
BenchmarkZapConsole/NoColor/Info/FieldsStringer-32              	 1000000	      1150 ns/op	     394 B/op	       9 allocs/op
BenchmarkZapConsole/NoColor/Info/FieldsStringerp-32             	 1261257	       975.2 ns/op	     338 B/op	       7 allocs/op
BenchmarkZapConsole/NoColor/Debug-32                            	427305768	         2.872 ns/op	       0 B/op	       0 allocs/op
BenchmarkZapConsole/NoColor/Debug/FieldsString-32               	 5835572	       242.5 ns/op	     272 B/op	       4 allocs/op
BenchmarkZapConsole/NoColor/Debug/FieldsStringer-32             	19810249	        63.43 ns/op	     184 B/op	       3 allocs/op
BenchmarkZapConsole/NoColor/Debug/FieldsStringerp-32            	40690809	        29.89 ns/op	     128 B/op	       1 allocs/op
BenchmarkZapConsole/NoColor/info/CheckNoFields-32               	 2502014	       461.7 ns/op	      64 B/op	       3 allocs/op
BenchmarkZapConsole/NoColor/info/CheckFieldsString-32           	 1215165	       965.8 ns/op	     338 B/op	       7 allocs/op
BenchmarkZapConsole/NoColor/info/CheckFieldsStringer-32         	 1000000	      1130 ns/op	     394 B/op	       9 allocs/op
BenchmarkZapConsole/NoColor/info/CheckFieldsStringerp-32        	 1205140	       972.8 ns/op	     338 B/op	       7 allocs/op
BenchmarkZapConsole/NoColor/debug/CheckNoFields-32              	478960041	         2.402 ns/op	       0 B/op	       0 allocs/op
BenchmarkZapConsole/NoColor/debug/CheckFieldsString-32          	469728813	         2.465 ns/op	       0 B/op	       0 allocs/op
BenchmarkZapConsole/NoColor/debug/CheckFieldsStringer-32        	504593478	         2.354 ns/op	       0 B/op	       0 allocs/op
BenchmarkZapConsole/NoColor/debug/CheckFieldsStringerp-32       	488346090	         2.446 ns/op	       0 B/op	       0 allocs/op
BenchmarkZapConsole/NoTime/Info-32                              	 4365702	       268.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkZapConsole/NoTime/Info/FieldsString-32                 	 1605936	       735.4 ns/op	     290 B/op	       5 allocs/op
BenchmarkZapConsole/NoTime/Info/FieldsStringer-32               	 1324989	       876.1 ns/op	     346 B/op	       7 allocs/op
BenchmarkZapConsole/NoTime/Info/FieldsStringerp-32              	 1679281	       796.0 ns/op	     290 B/op	       5 allocs/op
BenchmarkZapConsole/NoTime/Debug-32                             	410611701	         2.855 ns/op	       0 B/op	       0 allocs/op
BenchmarkZapConsole/NoTime/Debug/FieldsString-32                	 4929132	       234.0 ns/op	     272 B/op	       4 allocs/op
BenchmarkZapConsole/NoTime/Debug/FieldsStringer-32              	18354124	        65.44 ns/op	     184 B/op	       3 allocs/op
